CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
06/12/2014,Z (Dec 14),16.80,17.20,16.67,17.12,17.15,0.35,4487,193,15620
06/13/2014,Z (Dec 14),17.15,17.15,16.71,16.90,16.95,-0.20,4746,0,16417
06/16/2014,Z (Dec 14),16.96,17.04,16.80,16.86,16.90,-0.05,3299,47,16801
06/17/2014,Z (Dec 14),16.85,16.90,16.68,16.80,16.80,-0.10,3632,0,18277
06/18/2014,Z (Dec 14),16.75,16.80,16.28,16.35,16.35,-0.45,6213,50,19217
06/19/2014,Z (Dec 14),16.40,16.50,16.23,16.43,16.45,0.10,7522,0,21812
06/20/2014,Z (Dec 14),16.41,16.55,16.27,16.55,16.55,0.10,3508,0,22783
06/23/2014,Z (Dec 14),16.55,16.62,16.30,16.35,16.40,-0.15,5146,0,23557
06/24/2014,Z (Dec 14),16.34,16.59,16.30,16.45,16.50,0.10,4743,66,23495
06/25/2014,Z (Dec 14),16.47,16.60,16.20,16.30,16.30,-0.20,4959,0,24339
06/26/2014,Z (Dec 14),16.25,16.41,16.10,16.14,16.15,-0.15,5332,0,25171
06/27/2014,Z (Dec 14),16.20,16.25,16.10,16.15,16.20,0.05,3568,0,25906
06/30/2014,Z (Dec 14),16.15,16.15,15.90,15.97,16.00,-0.20,4229,0,25697
07/01/2014,Z (Dec 14),16.01,16.01,15.68,15.80,15.80,-0.20,5865,0,26783
07/02/2014,Z (Dec 14),15.78,15.80,15.55,15.60,15.60,-0.20,4755,0,27659
07/03/2014,Z (Dec 14),15.55,15.60,15.39,15.45,15.45,-0.15,3796,0,28772
07/07/2014,Z (Dec 14),15.50,15.70,15.30,15.65,15.70,0.25,2935,0,28848
07/08/2014,Z (Dec 14),15.70,16.00,15.65,15.65,15.70,0.00,7564,132,29613
07/09/2014,Z (Dec 14),15.65,15.73,15.43,15.55,15.55,-0.15,7063,0,30360
07/10/2014,Z (Dec 14),15.55,15.85,15.50,15.60,15.65,0.10,8074,0,31539
07/11/2014,Z (Dec 14),15.62,15.66,15.44,15.55,15.55,-0.10,3413,0,32319
07/14/2014,Z (Dec 14),15.48,15.49,15.20,15.20,15.20,-0.35,4518,0,33308
07/15/2014,Z (Dec 14),15.20,15.40,15.10,15.20,15.25,0.05,10335,24,35344
07/16/2014,Z (Dec 14),15.20,15.35,15.04,15.30,15.30,0.05,12453,0,37051
07/17/2014,Z (Dec 14),15.30,16.02,15.20,15.50,15.55,0.25,25541,0,37891
07/18/2014,Z (Dec 14),15.54,16.00,15.12,15.25,15.25,-0.30,11242,0,37292
07/21/2014,Z (Dec 14),15.30,15.40,15.15,15.35,15.35,0.10,8673,0,38063
07/22/2014,Z (Dec 14),15.34,15.40,15.05,15.25,15.30,-0.05,7841,24,39092
07/23/2014,Z (Dec 14),15.30,15.45,15.18,15.40,15.45,0.15,4977,0,39552
07/24/2014,Z (Dec 14),15.40,15.51,15.28,15.50,15.50,0.05,6461,0,40214
07/25/2014,Z (Dec 14),15.53,15.68,15.44,15.60,15.65,0.15,11321,0,41784
07/28/2014,Z (Dec 14),15.60,15.68,15.45,15.50,15.50,-0.15,6857,0,41750
07/29/2014,Z (Dec 14),15.49,15.55,15.30,15.40,15.45,-0.05,8869,0,42435
07/30/2014,Z (Dec 14),15.40,15.53,15.20,15.45,15.50,0.05,12218,0,44290
07/31/2014,Z (Dec 14),15.45,16.20,15.45,16.20,16.20,0.70,18752,103,44701
08/01/2014,Z (Dec 14),16.15,16.70,15.65,16.70,16.70,0.50,26405,0,46272
08/04/2014,Z (Dec 14),16.60,16.77,15.95,16.25,16.25,-0.45,13301,78,47484
08/05/2014,Z (Dec 14),16.23,17.00,16.15,16.88,16.85,0.60,16089,0,46933
08/06/2014,Z (Dec 14),16.82,17.09,16.55,17.03,17.05,0.20,14539,0,46403
08/07/2014,Z (Dec 14),17.00,17.50,16.73,17.35,17.40,0.35,15068,0,46822
08/08/2014,Z (Dec 14),17.30,18.17,16.90,17.05,17.10,-0.30,16515,0,47991
08/11/2014,Z (Dec 14),17.09,17.25,16.35,16.50,16.50,-0.60,17209,256,46590
08/12/2014,Z (Dec 14),16.47,16.64,16.32,16.43,16.45,-0.05,9292,0,45889
08/13/2014,Z (Dec 14),16.42,16.46,15.95,16.05,16.00,-0.45,8165,127,46044
08/14/2014,Z (Dec 14),15.99,16.07,15.60,15.62,15.65,-0.35,10991,0,46316
